year,bank,survey_scope,survey_type,species_label,n_transects,mean_percent_cover,sd_percent_cover,se_percent_cover
2006,EFGB,study_site,RT,Mussa angulosa,16,0.05,0.15491933384829668,0.03872983346207417
2006,EFGB,study_site,RT,Mycetophyllia lamarckiana,16,0.0125,0.05,0.0125
2006,EFGB,study_site,RT,Scolymia cubensis,16,0.0,0.0,0.0
2006,WFGB,study_site,RT,Montastraea annularis species complex,16,40.125,13.146127439921866,3.2865318599804665
2006,WFGB,study_site,RT,Diploria strigosa,16,10.137500000000001,6.549389284505846,1.6373473211264615
2006,WFGB,study_site,RT,Porites astreoides,16,3.3875,2.2797295161195477,0.5699323790298869
2006,WFGB,study_site,RT,Montastraea cavernosa,16,2.25,3.367689613567933,0.8419224033919832
2006,WFGB,study_site,RT,Millepora alcicornis,16,0.65,0.7949842765740717,0.19874606914351792
2006,WFGB,study_site,RT,Colpophyllia natans,16,0.55,1.1111555546667022,0.27778888866667556
2006,WFGB,study_site,RT,Stephanocoenia intersepta,16,0.4375,0.8333666660000266,0.20834166650000666
2006,WFGB,study_site,RT,Mussa angulosa,16,0.2375,0.6291528696058958,0.15728821740147395
2006,WFGB,study_site,RT,Madracis spp.,16,0.15,0.3898717737923586,0.09746794344808965
2006,WFGB,study_site,RT,Agaricia spp.,16,0.125,0.22949219304078008,0.05737304826019502
2006,WFGB,study_site,RT,Scolymia cubensis,16,0.0125,0.05,0.0125
2006,WFGB,study_site,RT,Siderastrea siderea,16,0.0,0.0,0.0
2007,EFGB,study_site,RT,Montastraea annularis species complex,16,32.3855623214635,18.47941325147723,4.619853312869307
2007,EFGB,study_site,RT,Porites astreoides,16,5.829240629965504,3.528647834868898,0.8821619587172245
2007,EFGB,study_site,RT,Diploria strigosa,16,5.821067661067571,4.436461565083138,1.1091153912707845
2007,EFGB,study_site,RT,Montastraea cavernosa,16,3.729233607632637,3.7522592329893265,0.9380648082473316
2007,EFGB,study_site,RT,Siderastrea siderea,16,1.617439631325468,5.507863308828906,1.3769658272072265
2007,EFGB,study_site,RT,Colpophyllia natans,16,1.5628331034884553,3.4121328297673412,0.8530332074418353
2007,EFGB,study_site,RT,Stephanocoenia intersepta,16,0.3478596612513814,0.501820814249865,0.12545520356246626
2007,EFGB,study_site,RT,Madracis spp.,16,0.29381586934579723,0.50906905323701,0.1272672633092525
2007,EFGB,study_site,RT,Agaricia spp.,16,0.10298693875822944,0.31931225288818205,0.07982806322204551
2007,EFGB,study_site,RT,Millepora alcicornis,16,0.07679464044967124,0.2582704210180266,0.06456760525450665
2007,EFGB,study_site,RT,Mussa angulosa,16,0.0,0.0,0.0
2007,EFGB,study_site,RT,Scolymia cubensis,16,0.0,0.0,0.0
2007,WFGB,study_site,RT,Montastraea annularis species complex,16,35.444963885936524,15.235910998084274,3.8089777495210684
2007,WFGB,study_site,RT,Diploria strigosa,16,9.576185938289557,7.4110340197897635,1.8527585049474409
2007,WFGB,study_site,RT,Porites astreoides,16,3.6005617155253087,1.745293866142454,0.4363234665356135
2007,WFGB,study_site,RT,Colpophyllia natans,16,3.3236090979623594,4.9497716198589705,1.2374429049647426
2007,WFGB,study_site,RT,Montastraea cavernosa,16,1.834907182634389,2.1288747934090764,0.5322186983522691
2007,WFGB,study_site,RT,Stephanocoenia intersepta,16,1.109939064665668,1.3065839279348481,0.32664598198371203
2007,WFGB,study_site,RT,Millepora alcicornis,16,0.8178215182285893,1.0918021111535856,0.2729505277883964
2007,WFGB,study_site,RT,Agaricia spp.,16,0.15377934377141522,0.29402768355693676,0.07350692088923419
2007,WFGB,study_site,RT,Mussa angulosa,16,0.07772395391818382,0.18344283515827237,0.04586070878956809
2007,WFGB,study_site,RT,Madracis spp.,16,0.07746031903724222,0.16512582643097676,0.04128145660774419
2007,WFGB,study_site,RT,Scolymia cubensis,16,0.026224929627023223,0.07169055873451763,0.017922639683629407
2007,WFGB,study_site,RT,Siderastrea siderea,16,0.025510204081632654,0.10204081632653061,0.025510204081632654
2008,EFGB,study_site,RT,Montastraea annularis species complex,16,33.288640857658486,18.06812396551284,4.51703099137821
2008,EFGB,study_site,RT,Diploria strigosa,16,7.657064984402393,8.00712487930767,2.0017812198269174
2008,EFGB,study_site,RT,Porites astreoides,16,7.338151726903669,4.750782684617259,1.1876956711543147
2008,EFGB,study_site,RT,Montastraea cavernosa,16,2.8327181276373743,3.681622106900262,0.9204055267250655
2008,EFGB,study_site,RT,Colpophyllia natans,16,1.644981773580669,2.3368626419299483,0.5842156604824871
2008,EFGB,study_site,RT,Stephanocoenia intersepta,16,0.9940483678528904,1.963146014299552,0.490786503574888
2008,EFGB,study_site,RT,Madracis spp.,16,0.895581638778856,1.2052006599368112,0.3013001649842028
2008,EFGB,study_site,RT,Agaricia spp.,16,0.3853145258060915,0.4653683182373514,0.11634207955933785
2008,EFGB,study_site,RT,Mussa angulosa,16,0.22896077238033988,0.48206817308927824,0.12051704327231956
2008,EFGB,study_site,RT,Millepora alcicornis,16,0.13722874442290744,0.3268220849882231,0.08170552124705578
2008,EFGB,study_site,RT,Siderastrea siderea,16,0.04711055276381909,0.18844221105527637,0.04711055276381909
2008,EFGB,study_site,RT,Scolymia cubensis,16,0.014467592592592591,0.057870370370370364,0.014467592592592591
2008,WFGB,study_site,RT,Montastraea annularis species complex,16,36.784076840420404,18.606395296763175,4.651598824190794
2008,WFGB,study_site,RT,Diploria strigosa,16,9.08953334728404,9.712598887147129,2.4281497217867822
2008,WFGB,study_site,RT,Siderastrea siderea,16,3.7244840256073726,6.345914096473776,1.586478524118444
2008,WFGB,study_site,RT,Porites astreoides,16,3.6246818482734877,2.561916719272003,0.6404791798180007
2008,WFGB,study_site,RT,Montastraea cavernosa,16,2.7773297432453132,4.218071984559702,1.0545179961399256
2008,WFGB,study_site,RT,Colpophyllia natans,16,1.1102674907184715,1.806033380110978,0.4515083450277445
2008,WFGB,study_site,RT,Stephanocoenia intersepta,16,0.4651615151199256,0.789651067088146,0.1974127667720365
2008,WFGB,study_site,RT,Millepora alcicornis,16,0.2724387586426436,0.5774482390834581,0.14436205977086453
2008,WFGB,study_site,RT,Agaricia spp.,16,0.2242032156004217,0.4060403897826946,0.10151009744567364
2008,WFGB,study_site,RT,Madracis spp.,16,0.20578007975877832,0.5943941314266973,0.14859853285667432
2008,WFGB,study_site,RT,Mussa angulosa,16,0.06094013913988401,0.1891986750581756,0.0472996687645439
2008,WFGB,study_site,RT,Scolymia cubensis,16,0.0,0.0,0.0
