year,bank,survey_scope,survey_type,plot_group,n_transects,mean_percent_cover,sd_percent_cover,se_percent_cover
2008,EFGB,study_site,RT,Macroalgae,16,24.161974188779343,8.65227474757332,2.16306868689333
2008,EFGB,study_site,RT,CCA,16,4.331824284078307,3.124082320206933,0.7810205800517332
2008,EFGB,study_site,RT,Colonizable Substrate,16,13.813141228573027,5.614575083841131,1.4036437709602827
2008,EFGB,study_site,RT,Sand,16,0.30915764916505384,0.6376776822818271,0.15941942057045677
2008,EFGB,study_site,RT,Other,16,0.2607985862537911,0.18920188515372785,0.04730047128843196
2008,EFGB,study_site,RT,Hydrocoral,16,0.13722874442290744,0.3268220849882231,0.08170552124705578
2008,WFGB,study_site,RT,Coral,16,58.74739616113628,13.667718864636765,3.416929716159191
2008,WFGB,study_site,RT,Sponge,16,0.9735631169199205,1.8778156411776241,0.46945391029440603
2008,WFGB,study_site,RT,Macroalgae,16,12.177161772376502,5.223546341869489,1.3058865854673722
2008,WFGB,study_site,RT,CCA,16,4.380694425282048,3.9825218503085655,0.9956304625771414
2008,WFGB,study_site,RT,Colonizable Substrate,16,22.522008780868838,7.495534147561542,1.8738835368903854
2008,WFGB,study_site,RT,Sand,16,0.05827505827505827,0.2331002331002331,0.05827505827505827
2008,WFGB,study_site,RT,Other,16,0.2537509771299325,0.22291702922682832,0.05572925730670708
2008,WFGB,study_site,RT,Hydrocoral,16,0.2724387586426436,0.5774482390834581,0.14436205977086453
